Item Name,Qty,Price (total) (USD),Item link,Notes
Esp32 dev board,2,$6.35,https://nl.aliexpress.com/item/1005007900661803.html?spm=a2g0o.productlist.main.16.454e73c1krKDmX&aem_p4p_detail=2026090902564813525667811616500000097151&algo_pvid=320ffb68-c790-40f4-9cf1-63d8f3272058&algo_exp_id=320ffb68-c790-40f4-9cf1-63d8f3272058-15&pdp_ext_f=%7B%22order%22%3A%222567%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.14%215.69%21%21%2146.76%2143.33%21%4021613ab217889478086917940e0cf2%2112000057603495725%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=PCr5pYGY0gH6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007900661803%7C_p_origin_prod%3A&search_p4p_id=2026090902564813525667811616500000097151_4&gatewayAdapt=glo2nld,For robot and controller
OLED display,1,$6.43,https://nl.aliexpress.com/item/1005010285473577.html?spm=a2g0o.productlist.main.1.1b12WOF4WOF4xO&algo_pvid=12abfaf5-a916-4bb1-aaa7-a4e42b03f787&algo_exp_id=12abfaf5-a916-4bb1-aaa7-a4e42b03f787-0&pdp_ext_f=%7B%22order%22%3A%22800%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005010285473577%22%2C%22orig_item_id%22%3A%221005009345289549%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.86%216.43%21%21%2185.79%2142.89%21%400b8848bf17889785609438347e112a%2112000051791878981%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=i3suadO6HDqv&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010285473577%7C_p_origin_prod%3A1005009345289549&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,The face and screen of the robot
N20 motor and wheel,2,$6.82,https://nl.aliexpress.com/item/4001216780881.html?spm=a2g0o.productlist.main.16.64b9XbINXbINiG&algo_pvid=5d0061dd-3efa-4988-b298-e0d2a42ab9a9&algo_exp_id=5d0061dd-3efa-4988-b298-e0d2a42ab9a9-13&pdp_ext_f=%7B%22order%22%3A%22586%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.66%216.66%21%21%216.66%216.66%21%400b884c0217889797089946609e0d39%2112000050912806404%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=SbEVEKf8UG1N&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001216780881%7C_p_origin_prod%3A,3V and 100RPM
Mini ball caster wheel,1,$1.68,https://nl.aliexpress.com/item/1005007057637397.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.5.3bf0V9InV9InkZ&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=45edeefa-604c-4507-aa6d-b43527486aea&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A45edeefa-604c-4507-aa6d-b43527486aea%2Ctpp_buckets%3A668%232846%238108%231977&isseo=y&pdp_ext_f=%7B%22order%22%3A%22219%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.72%211.68%21%21%2111.47%2111.18%21%400b15834e17889802358872641e0d82%2112000039261031976%21rec%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007057637397%7C_p_origin_prod%3A,Back wheel
Dual motor driver module,1,$1.23,https://nl.aliexpress.com/item/1005006111798716.html?spm=a2g0o.productlist.main.2.29b07684d1q4HE&algo_pvid=708d366e-9233-471a-810c-b022c4bef50f&algo_exp_id=708d366e-9233-471a-810c-b022c4bef50f-1&pdp_ext_f=%7B%22order%22%3A%22142%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.26%211.23%21%21%211.26%211.23%21%4021038db317889490166353582e0dc7%2112000043376584296%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=srXFQHjuOSpS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006111798716%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,Helps the motors move the wheels
Li-ion battery,1,$4.11,https://nl.aliexpress.com/item/1005007970184616.html?spm=a2g0o.productlist.main.1.44107RBv7RBvCz&algo_pvid=4bd42702-fb40-44a8-9406-e947863be478&algo_exp_id=4bd42702-fb40-44a8-9406-e947863be478-0&pdp_ext_f=%7B%22order%22%3A%22655%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.29%213.27%21%21%216.29%213.27%21%400b884c0217889491848492181e1073%2112000043084054823%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=1GULvTC8szUd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007970184616%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,3.7V 1piece battery
Battery holder,1,$1.90,https://nl.aliexpress.com/item/1005008905937032.html?spm=a2g0o.productlist.main.44.ac336ee4NSp1iI&aem_p4p_detail=202609090321372835376242264160000114809&algo_pvid=8e7ec020-2d89-4705-8971-502f071d2615&algo_exp_id=8e7ec020-2d89-4705-8971-502f071d2615-43&pdp_ext_f=%7B%22order%22%3A%221132%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.81%211.90%21%21%2125.41%2112.70%21%400b15832917889492977287057e108a%2112000047143660742%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=qqHPhT96HAGg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008905937032%7C_p_origin_prod%3A&search_p4p_id=202609090321372835376242264160000114809_11,Holds the batteries
Type c charger module,1,$2.25,https://nl.aliexpress.com/item/1005006043031985.html?spm=a2g0o.productlist.main.2.5738be6aW7aXVn&algo_pvid=c849eac2-acf7-4db0-a005-38c10b277013&algo_exp_id=c849eac2-acf7-4db0-a005-38c10b277013-1&pdp_ext_f=%7B%22order%22%3A%2244375%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.36%212.25%21%21%2129.11%2115.03%21%400b15832917889493982026001e0cee%2112000035475416223%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895%3BpisId%3A5000000216893409&curPageLogUid=AWAkkiazMJLY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006043031985%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,"Charging port, type C"
Step-up module,1,$1.24,https://nl.aliexpress.com/item/1005006361814667.html?spm=a2g0o.productlist.main.1.394erIe1rIe1Mm&algo_pvid=3585c700-3ba6-4f3d-9cc3-1ccdb9d604fd&algo_exp_id=3585c700-3ba6-4f3d-9cc3-1ccdb9d604fd-0&pdp_ext_f=%7B%22order%22%3A%2210397%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.27%211.24%21%21%218.46%218.25%21%4021613ab217889495361562717e0fc9%2112000036895232308%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=qIcewCEKf3SO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006361814667%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,3.7V to 5V
Mini toggle switches,1,$1.96,https://nl.aliexpress.com/item/1005009714438836.html?spm=a2g0o.productlist.main.1.5d1531cfiJh3wV&algo_pvid=def5f9fd-ac95-49fe-9be0-5bab3b1ac9a7&algo_exp_id=def5f9fd-ac95-49fe-9be0-5bab3b1ac9a7-0&pdp_ext_f=%7B%22order%22%3A%2225005%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.83%212.27%21%21%2132.21%2115.14%21%402161390617889496089666346e0f38%2112000049933523467%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=ziH3Rc3Uxdie&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009714438836%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,"Turns off and on, 5pc"
